"Statistic Label","Year","Type of Urban or Rural Area","Small Area","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Cities","097024001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077161008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","147002002/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077026001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267077009","Number","155"
"Population Usually Resident and Present in the State","2022","Cities","067165006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047060004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268054002","Number","203"
"Population Usually Resident and Present in the State","2022","Cities","217152026","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167065031","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267130002","Number","382"
"Population Usually Resident and Present in the State","2022","Cities","267113001","Number","278"
"Population Usually Resident and Present in the State","2022","Cities","228016003","Number","521"
"Population Usually Resident and Present in the State","2022","Cities","267068002","Number","265"
"Population Usually Resident and Present in the State","2022","Cities","017050002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097111004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","147039013","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047016014","Number","381"
"Population Usually Resident and Present in the State","2022","Cities","267053024","Number","386"
"Population Usually Resident and Present in the State","2022","Cities","267100060","Number","318"
"Population Usually Resident and Present in the State","2022","Cities","147022001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","207031005","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097016001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","147002003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167081007","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247100002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","068013004","Number","248"
"Population Usually Resident and Present in the State","2022","Cities","247053007","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217164003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057145003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047088002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267028004/02/11","Number","307"
"Population Usually Resident and Present in the State","2022","Cities","268077006","Number","248"
"Population Usually Resident and Present in the State","2022","Cities","087064039","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247083002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167028009","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217136020","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077032001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","127053001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267057007","Number","268"
"Population Usually Resident and Present in the State","2022","Cities","268130012","Number","223"
"Population Usually Resident and Present in the State","2022","Cities","048070001","Number","274"
"Population Usually Resident and Present in the State","2022","Cities","057126001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","197097005/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267084032","Number","166"
"Population Usually Resident and Present in the State","2022","Cities","268129003","Number","304"
"Population Usually Resident and Present in the State","2022","Cities","067097006/067097003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087029021","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247117037","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268143016","Number","157"
"Population Usually Resident and Present in the State","2022","Cities","027017001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267060006","Number","344"
"Population Usually Resident and Present in the State","2022","Cities","037085001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047279014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","127079001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268110013","Number","199"
"Population Usually Resident and Present in the State","2022","Cities","268032003","Number","203"
"Population Usually Resident and Present in the State","2022","Cities","267105008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047105002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047082002/047082003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","137009004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057088001/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087025012","Number",""
"Population Usually Resident and Present in the State","2022","Cities","257059005/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267131017","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057137014","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217123001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247054002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077038001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077074001/077074002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268140003","Number","214"
"Population Usually Resident and Present in the State","2022","Cities","047072022","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217009010","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267103004/01","Number","200"
"Population Usually Resident and Present in the State","2022","Cities","257004026","Number",""
"Population Usually Resident and Present in the State","2022","Cities","187087028","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077001002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267117012","Number","314"
"Population Usually Resident and Present in the State","2022","Cities","077106005/077106006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","177006003/177006002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077160001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267040013","Number","336"
"Population Usually Resident and Present in the State","2022","Cities","227077006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267123031","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268030012","Number","223"
"Population Usually Resident and Present in the State","2022","Cities","247041001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047096008","Number",""
"Population Usually Resident and Present in the State","2022","Cities","017051004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","237045001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","087066024/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057137015","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268031013","Number","247"
"Population Usually Resident and Present in the State","2022","Cities","268003003","Number","205"
"Population Usually Resident and Present in the State","2022","Cities","268002012","Number","179"
"Population Usually Resident and Present in the State","2022","Cities","197012003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267138017","Number","265"
"Population Usually Resident and Present in the State","2022","Cities","077160047","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047174001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268137013","Number","155"
"Population Usually Resident and Present in the State","2022","Cities","147013001/147013002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","157141003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","147020006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077093003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268117019","Number","173"
"Population Usually Resident and Present in the State","2022","Cities","117052002/117052003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267013014","Number","276"
"Population Usually Resident and Present in the State","2022","Cities","267133025","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047150002","Number",""
"Population Usually Resident and Present in the State","2022","Cities","037057058","Number",""
"Population Usually Resident and Present in the State","2022","Cities","257078024","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077110001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","147033003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","207047006","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097091004/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","167029016","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247045026","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268071007","Number","283"
"Population Usually Resident and Present in the State","2022","Cities","047204001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","077163003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057036003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","157107001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","247046004","Number",""
"Population Usually Resident and Present in the State","2022","Cities","047247001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","217151001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","128015003","Number","235"
"Population Usually Resident and Present in the State","2022","Cities","037101001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","268081001","Number","153"
"Population Usually Resident and Present in the State","2022","Cities","087048003","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267002043/02","Number",""
"Population Usually Resident and Present in the State","2022","Cities","048026001","Number","202"
"Population Usually Resident and Present in the State","2022","Cities","268152001","Number","136"
"Population Usually Resident and Present in the State","2022","Cities","027092016","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267095015","Number","308"
"Population Usually Resident and Present in the State","2022","Cities","267109016","Number","406"
"Population Usually Resident and Present in the State","2022","Cities","127018016","Number","340"
"Population Usually Resident and Present in the State","2022","Cities","268128002","Number","208"
"Population Usually Resident and Present in the State","2022","Cities","268140001","Number","167"
"Population Usually Resident and Present in the State","2022","Cities","068017005","Number","307"
"Population Usually Resident and Present in the State","2022","Cities","237094001","Number",""
"Population Usually Resident and Present in the State","2022","Cities","147002013","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267092001/01","Number",""
"Population Usually Resident and Present in the State","2022","Cities","267066008","Number","300"
"Population Usually Resident and Present in the State","2022","Cities","267100039","Number","287"
"Population Usually Resident and Present in the State","2022","Cities","267053009","Number","223"
"Population Usually Resident and Present in the State","2022","Cities","047054017","Number",""
"Population Usually Resident and Present in the State","2022","Cities","057114006/057114013","Number",""
"Population Usually Resident and Present in the State","2022","Cities","097032001","Number",""
